DistanceToObstacle,Velocity,ProximityLeft,ProximityRight,Altitude,Class
92.76,0.00,57.29,67.06,11.00,0
130.43,0.00,74.78,63.66,11.00,1
103.69,0.00,15.22,44.84,11.00,1
112.01,0.00,29.78,71.25,11.00,1
120.09,0.00,70.39,85.57,11.00,1
35.18,0.00,13.10,42.21,11.00,1
122.17,0.00,40.10,74.86,11.00,1
98.11,0.00,30.22,98.87,11.00,1
130.97,0.00,30.67,81.71,11.00,1
73.11,0.00,33.83,17.55,11.00,1
82.86,0.00,85.71,21.78,11.00,1
69.22,0.00,20.07,13.58,11.00,1
84.70,0.00,75.20,91.52,11.00,1
90.02,0.00,24.57,34.06,11.00,1
56.86,0.00,76.67,14.63,11.00,1
59.45,0.00,27.14,83.97,11.00,1
139.43,0.00,35.93,92.34,11.00,1
114.92,0.00,63.26,80.08,11.00,1
97.39,0.00,48.10,71.18,11.00,1
140.41,0.00,14.60,44.31,11.00,1
74.88,0.00,28.45,49.89,11.00,1
145.98,0.00,51.86,28.14,11.00,1
147.85,0.00,33.77,57.24,11.00,1
126.23,0.00,78.69,66.25,11.00,1
75.31,0.00,65.86,22.77,11.00,1
104.92,0.00,81.96,73.38,11.00,1
119.07,0.00,46.89,57.80,11.00,1
67.88,0.00,72.51,53.59,11.00,1
101.64,0.00,40.46,18.70,11.00,1
53.16,0.00,16.73,59.19,11.00,1
68.16,0.00,89.24,23.26,11.00,1
30.60,0.00,84.32,28.82,11.00,1
145.00,0.00,81.73,69.41,11.00,1
43.66,0.00,86.09,42.02,11.00,1
57.87,0.00,60.74,10.77,11.00,1
43.34,0.00,99.03,80.21,11.00,1
91.28,0.00,47.49,80.34,11.00,1
136.12,0.00,60.09,87.89,11.00,1
148.62,0.00,86.91,11.57,11.00,1
41.45,0.00,53.16,33.99,11.00,1
65.37,0.00,11.23,95.61,11.00,1
133.02,0.00,45.46,53.12,11.00,1
80.78,0.00,95.58,68.75,11.00,1
59.95,0.00,29.89,17.16,11.00,1
125.35,0.00,46.87,73.47,11.00,1
126.83,0.00,43.15,19.67,11.00,1
74.93,0.00,87.41,89.31,11.00,1
147.50,0.00,24.06,19.50,11.00,1
133.69,0.00,52.58,90.08,11.00,1
92.04,0.00,53.92,11.59,11.00,1
65.37,0.00,51.83,58.79,11.00,1
147.43,0.00,12.05,49.49,11.00,1
42.68,0.00,69.35,13.33,11.00,1
70.35,0.00,17.37,45.60,11.00,1
84.72,0.00,40.38,53.09,11.00,1
126.19,0.00,55.73,25.66,11.00,1
49.78,0.00,35.44,46.68,11.00,1
42.72,0.00,94.55,76.26,11.00,1
80.95,0.00,35.74,41.25,11.00,1
147.00,0.00,61.36,26.88,11.00,1
58.30,0.00,27.09,71.47,11.00,1
72.49,0.00,10.35,76.17,11.00,1
91.97,0.00,45.53,41.53,11.00,1
54.78,0.00,65.04,26.52,11.00,1
65.46,0.00,47.27,74.43,11.00,1
144.94,0.00,54.66,31.33,11.00,1
122.21,0.00,27.50,90.73,11.00,1
93.74,0.00,12.58,40.17,11.00,1
148.17,0.00,71.52,93.60,11.00,1
109.87,0.00,91.94,72.74,11.00,1
63.62,0.00,51.98,21.59,11.00,1
31.08,0.00,94.22,59.71,11.00,1
56.40,0.00,20.53,84.98,11.00,1
131.15,0.00,95.12,58.42,11.00,1
96.75,0.00,73.24,33.20,11.00,1
102.95,0.00,78.78,57.24,11.00,1
100.94,0.00,74.77,75.36,11.00,1
36.40,0.00,58.53,56.58,11.00,1
48.90,0.00,97.95,64.26,11.00,1
47.64,0.00,82.78,61.89,11.00,1
86.06,0.00,61.31,12.57,11.00,1
82.92,0.00,63.85,44.22,11.00,1
35.32,0.00,62.13,39.42,11.00,1
139.65,0.00,84.69,59.62,11.00,1
121.65,0.00,20.00,76.21,11.00,1
144.08,0.00,71.91,14.79,11.00,1
46.25,0.00,46.36,12.73,11.00,1
116.60,0.00,44.23,18.51,11.00,1
44.53,0.00,37.15,52.00,11.00,1
118.44,0.00,51.23,50.91,11.00,1
143.20,0.00,69.99,89.25,11.00,1
126.71,0.00,49.11,23.07,11.00,1
137.88,0.00,32.42,42.89,11.00,1
76.80,0.00,99.06,37.67,11.00,1
48.17,0.00,45.93,96.18,11.00,1
102.37,0.00,71.09,20.41,11.00,1
54.19,0.00,18.62,67.67,11.00,1
109.18,0.00,57.97,36.23,11.00,1
81.88,0.00,42.00,56.81,11.00,1
114.47,0.00,42.59,44.09,11.00,1
96.28,0.00,91.67,39.68,11.00,1
61.89,0.00,11.90,67.75,11.00,1
120.78,0.00,80.55,19.55,11.00,1
50.80,0.00,24.79,20.57,11.00,1
64.99,0.00,12.39,85.93,11.00,1
119.24,0.00,41.56,85.54,11.00,1
147.38,0.00,10.84,19.28,11.00,1
84.53,0.00,47.60,82.74,11.00,1
122.93,0.00,36.58,21.23,11.00,1
102.65,0.00,96.01,95.59,11.00,1
33.25,0.00,73.85,56.25,11.00,1
141.80,0.00,80.07,27.82,11.00,1
69.76,0.00,25.27,96.75,11.00,1
88.78,0.00,78.05,46.17,11.00,1
53.95,0.00,61.02,54.78,11.00,1
94.77,0.00,67.53,13.36,11.00,1
135.28,0.00,71.19,35.76,11.00,1
125.79,0.00,70.83,57.92,11.00,1
91.31,0.00,90.80,87.43,11.00,1
35.91,0.00,43.63,87.70,11.00,1
145.48,0.00,38.60,83.35,11.00,1
118.55,0.00,76.19,81.61,11.00,1
39.47,0.00,79.12,86.79,11.00,1
108.08,0.00,63.61,95.57,11.00,1
110.38,0.00,63.75,26.31,11.00,1
146.24,0.00,90.00,50.25,11.00,1
51.47,0.00,89.67,42.87,11.00,1
130.24,0.00,73.26,48.81,11.00,1
33.28,0.00,98.12,83.58,11.00,1
53.35,0.00,59.68,45.73,11.00,1
113.86,0.00,85.49,98.54,11.00,1
108.90,0.00,57.01,75.56,11.00,1
117.97,0.00,46.40,79.14,11.00,1
105.04,0.07,98.99,52.66,11.00,1
116.19,0.10,35.28,14.03,11.00,1
96.89,0.14,12.57,26.19,11.00,1
67.28,0.17,77.32,61.90,11.00,1
42.45,0.24,25.18,41.29,11.00,1
94.34,0.24,40.00,78.60,11.00,1
115.54,0.28,91.98,83.38,11.00,1
72.91,0.31,49.84,17.52,11.00,1
88.79,0.38,30.53,28.20,11.00,1
121.28,0.41,60.97,61.74,11.00,1
138.24,0.41,35.20,26.45,11.00,1
66.42,0.45,98.60,64.84,11.00,1
83.00,0.48,49.02,63.64,11.00,1
75.75,0.55,90.51,74.95,11.00,1
37.74,0.55,93.73,64.47,11.00,1
34.64,0.58,77.76,28.27,11.00,1
87.53,0.62,21.67,93.37,11.00,1
36.54,0.69,65.84,99.56,11.00,1
79.84,0.72,11.59,88.31,11.00,1
99.76,0.75,89.01,73.83,11.00,1
144.30,0.79,56.54,42.13,11.00,1
64.84,0.82,56.31,33.66,11.00,1
147.56,0.89,39.81,18.86,11.00,1
100.98,0.92,66.18,33.74,11.00,1
112.78,0.95,19.08,87.24,11.00,1
148.06,0.99,75.45,59.71,11.00,1
48.23,1.02,52.52,44.95,11.00,1
